pruning,No.,total,fruits,mean_score,median_score
None,+1,2,7,0.995453477,0.999018669
None,+1,4,11,0.992060152,0.99726665
None,+1,6,6,0.994173795,0.998525053
None,+1,2,15,0.991228036,0.995723963
None,+1,4,6,0.998959531,0.998958021
None,+1,6,8,0.983187772,0.992544472
None,+1,4,7,0.997052652,0.998155296
None,+1,6,6,0.998959531,0.998958021
None,+1,4,13,0.992262299,0.997477829
None,+1,6,8,0.98791974,0.998141587
None,+1,6,9,0.996824344,0.99817884
None,+1,6,13,0.992262299,0.997477829
None,01,2,41,0.984862232,0.997143447
None,01,4,31,0.985890552,0.996557236
None,01,6,37,0.993355289,0.997113228
None,01,2,37,0.984283162,0.997547328
None,01,4,41,0.988150224,0.995896935
None,01,6,20,0.988606837,0.997255653
None,01,4,35,0.989829436,0.997859418
None,01,6,39,0.984501576,0.994908869
None,01,4,30,0.994570466,0.997010291
None,01,6,21,0.988593144,0.997381032
None,01,6,33,0.990604518,0.998055577
None,01,6,29,0.993379533,0.997199774
None,02,2,52,0.988145936,0.997237056
None,02,4,49,0.988286159,0.997229278
None,02,6,43,0.993665934,0.99754566
None,02,2,50,0.992746053,0.997656792
None,02,4,52,0.988145936,0.997237056
None,02,6,60,0.991472952,0.997636318
None,02,4,57,0.988342168,0.997573674
None,02,6,54,0.988127297,0.997597158
None,02,4,50,0.992746053,0.997656792
None,02,6,49,0.992899992,0.997661829
None,02,6,67,0.99178351,0.997968137
None,02,6,54,0.990643688,0.997845352
None,03,2,32,0.994866868,0.998652786
None,03,4,47,0.993928845,0.99827528
None,03,6,64,0.99410961,0.997909874
None,03,2,58,0.996102619,0.998004913
None,03,4,33,0.995988338,0.998148441
None,03,6,38,0.993231701,0.998056501
None,03,4,34,0.984749908,0.998054296
None,03,6,32,0.994866868,0.998652786
None,03,4,56,0.996126099,0.998391181
None,03,6,30,0.994908567,0.997793794
None,03,6,40,0.984685694,0.996301234
None,03,6,58,0.996102619,0.998004913
None,04,2,11,0.982741719,0.995480776
None,04,4,17,0.992780131,0.997514963
None,04,6,16,0.994690187,0.99774453
None,04,2,17,0.987609653,0.996478498
None,04,4,11,0.982741719,0.995480776
None,04,6,27,0.981754411,0.9950068
None,04,4,11,0.981861499,0.992242873
None,04,6,11,0.982741719,0.995480776
None,04,4,17,0.987609653,0.996478498
None,04,6,14,0.963373993,0.98145619
None,04,6,13,0.981581926,0.996719062
None,04,6,17,0.987609653,0.996478498
None,05,2,36,0.989622297,0.995947719
None,05,4,28,0.989442389,0.997312099
None,05,6,34,0.989604719,0.996954203
None,05,2,50,0.986166732,0.997040749
None,05,4,35,0.990680507,0.995819569
None,05,6,27,0.984695956,0.994690835
None,05,4,32,0.984503502,0.995311022
None,05,6,36,0.989622297,0.995947719
None,05,4,48,0.989664193,0.997818172
None,05,6,35,0.983595072,0.993943632
None,05,6,42,0.989852312,0.996904016
None,05,6,50,0.986166732,0.997040749
None,06,2,25,0.99634316,0.997883856
None,06,4,14,0.989673334,0.994261026
None,06,6,16,0.992760506,0.996029168
None,06,2,30,0.989806608,0.998166889
None,06,4,27,0.9956933,0.99776721
None,06,6,19,0.985897607,0.993982494
None,06,4,25,0.995408173,0.998106003
None,06,6,25,0.99634316,0.997883856
None,06,4,33,0.979539965,0.998113513
None,06,6,21,0.99183801,0.998578787
None,06,6,37,0.992142465,0.997782409
None,06,6,30,0.989806608,0.998166889
None,07,2,3,0.997645696,0.997430503
None,07,4,12,0.9854574,0.996742129
None,07,6,12,0.98966445,0.997516483
None,07,2,11,0.992980155,0.997873783
None,07,4,4,0.977001473,0.992955655
None,07,6,2,0.995983839,0.995983839
None,07,4,7,0.970234215,0.989742696
None,07,6,4,0.989736229,0.998692274
None,07,4,10,0.990539622,0.99815169
None,07,6,4,0.981029317,0.98523894
None,07,6,18,0.977032307,0.99558869
None,07,6,9,0.98671588,0.997924089
None,08,2,79,0.99368382,0.997398138
None,08,4,39,0.988937849,0.996100426
None,08,6,56,0.991372904,0.996535659
None,08,2,71,0.990582167,0.996537209
None,08,4,79,0.99368382,0.997398138
None,08,6,27,0.9963251,0.997691393
None,08,4,59,0.989197018,0.997232854
None,08,6,81,0.99420767,0.997789383
None,08,4,71,0.990582167,0.996537209
None,08,6,61,0.990504056,0.997221589
None,08,6,82,0.991688198,0.997503191
None,08,6,73,0.991091162,0.996774614
None,09,2,27,0.979147708,0.988106489
None,09,4,14,0.993287312,0.998281091
None,09,6,24,0.987731117,0.99745515
None,09,2,36,0.98465816,0.995545387
None,09,4,27,0.979147708,0.988106489
None,09,6,22,0.987829447,0.992872
None,09,4,42,0.992971524,0.997381568
None,09,6,27,0.97320456,0.985166371
None,09,4,36,0.98465816,0.995545387
None,09,6,19,0.995229665,0.998244286
None,09,6,35,0.99521083,0.998075604
None,09,6,37,0.983331754,0.994589329
None,10,2,12,0.991549144,0.997241676
None,10,4,11,0.981033558,0.996238828
None,10,6,9,0.998658975,0.999069631
None,10,2,7,0.990897587,0.999117434
None,10,4,12,0.991549144,0.997241676
None,10,6,8,0.99772241,0.998635739
None,10,4,9,0.99493395,0.998354077
None,10,6,12,0.991549144,0.997241676
None,10,4,7,0.990897587,0.999117434
None,10,6,9,0.998569422,0.999369204
None,10,6,7,0.998679766,0.999241948
None,10,6,7,0.990897587,0.999117434
None,11,2,14,0.993042652,0.998721689
None,11,4,26,0.991118653,0.99868238
None,11,6,29,0.988467819,0.997649372
None,11,2,17,0.993117346,0.998712897
None,11,4,14,0.993042652,0.998721689
None,11,6,21,0.993755471,0.998069227
None,11,4,12,0.997511084,0.998590142
None,11,6,15,0.989794413,0.99833566
None,11,4,17,0.993117346,0.998712897
None,11,6,22,0.995390862,0.997649312
None,11,6,15,0.991552695,0.998202443
None,11,6,17,0.99372497,0.997705758
None,12,2,23,0.992480353,0.998057306
None,12,4,37,0.99179843,0.997977436
None,12,6,35,0.989693158,0.997869253
None,12,2,53,0.987129476,0.996432304
None,12,4,23,0.992480353,0.998057306
None,12,6,46,0.989101161,0.997570634
None,12,4,38,0.992157056,0.997557253
None,12,6,23,0.991152784,0.998123825
None,12,4,53,0.987129476,0.996432304
None,12,6,60,0.991530481,0.995751679
None,12,6,31,0.992350528,0.997234523
None,12,6,61,0.985553994,0.996515751
None,13,2,61,0.990825331,0.99734205
None,13,4,38,0.993755932,0.997759968
